uf_tratada,br_tratada,total_acidentes
SC,101,4222
SP,116,3249
MG,381,2845
RJ,101,2415
PR,277,2157
ES,101,2084
MG,40,1972
RJ,116,1798
PR,376,1700
MG,116,1412
SC,282,1379
RS,116,1317
PB,230,1191
PE,101,1130
PR,116,1113
RO,364,1112
MG,262,1095
RJ,40,1071
SC,470,1066
BA,116,1038
GO,153,973
MT,163,969
BA,101,956
BA,324,942
PR,369,915
SC,280,880
PE,232,830
GO,60,803
MS,163,781
RS,290,768
